timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1756391739396,6,HTTP Request,200,OK,Thread Group 1-9,text,true,,253,123,50,100,http://localhost:3000/test,6,0,0
1756391739406,6,HTTP Request,200,OK,Thread Group 1-6,text,true,,253,123,50,100,http://localhost:3000/test,6,0,0
1756391739417,5,HTTP Request,200,OK,Thread Group 1-4,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391739426,5,HTTP Request,200,OK,Thread Group 1-7,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391739479,5,HTTP Request,200,OK,Thread Group 1-5,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391739482,8,HTTP Request,200,OK,Thread Group 1-10,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391739543,15,HTTP Request,200,OK,Thread Group 1-16,text,true,,253,123,50,100,http://localhost:3000/test,15,0,0
1756391739554,12,HTTP Request,200,OK,Thread Group 1-13,text,true,,253,123,50,100,http://localhost:3000/test,12,0,0
1756391739555,17,HTTP Request,200,OK,Thread Group 1-8,text,true,,253,123,50,100,http://localhost:3000/test,17,0,0
1756391739555,24,HTTP Request,200,OK,Thread Group 1-11,text,true,,253,123,50,100,http://localhost:3000/test,24,0,0
1756391739560,26,HTTP Request,200,OK,Thread Group 1-12,text,true,,253,123,50,100,http://localhost:3000/test,26,0,0
1756391739618,8,HTTP Request,200,OK,Thread Group 1-14,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391735175,4452,JDBC Request,200,OK,Thread Group 2-5,text,true,,2499,0,50,100,null,4452,0,3721
1756391739634,8,HTTP Request,200,OK,Thread Group 1-18,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391739670,15,HTTP Request,200,OK,Thread Group 1-19,text,true,,253,123,50,100,http://localhost:3000/test,15,0,0
1756391739683,11,HTTP Request,200,OK,Thread Group 1-20,text,true,,253,123,50,100,http://localhost:3000/test,11,0,0
1756391739684,15,HTTP Request,200,OK,Thread Group 1-17,text,true,,253,123,50,100,http://localhost:3000/test,15,0,0
1756391739708,8,HTTP Request,200,OK,Thread Group 1-23,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
1756391739709,17,HTTP Request,200,OK,Thread Group 1-15,text,true,,253,123,50,100,http://localhost:3000/test,17,0,0
1756391739758,13,HTTP Request,200,OK,Thread Group 1-26,text,true,,253,123,50,100,http://localhost:3000/test,13,0,0
1756391739762,17,HTTP Request,200,OK,Thread Group 1-21,text,true,,253,123,50,100,http://localhost:3000/test,17,0,0
1756391739787,5,HTTP Request,200,OK,Thread Group 1-25,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391739820,13,HTTP Request,200,OK,Thread Group 1-27,text,true,,253,123,50,100,http://localhost:3000/test,13,0,0
1756391739826,14,HTTP Request,200,OK,Thread Group 1-28,text,true,,253,123,50,100,http://localhost:3000/test,14,0,0
1756391739827,20,HTTP Request,200,OK,Thread Group 1-24,text,true,,253,123,50,100,http://localhost:3000/test,19,0,0
1756391739854,5,HTTP Request,200,OK,Thread Group 1-22,text,true,,253,123,50,100,http://localhost:3000/test,5,0,0
1756391739890,11,HTTP Request,200,OK,Thread Group 1-33,text,true,,253,123,50,100,http://localhost:3000/test,11,0,0
1756391739908,10,HTTP Request,200,OK,Thread Group 1-30,text,true,,253,123,50,100,http://localhost:3000/test,10,0,0
1756391739932,8,HTTP Request,200,OK,Thread Group 1-31,text,true,,253,123,50,100,http://localhost:3000/test,8,0,0
